id,sex,age,traveltime,studytime,failures,schoolsup,activities,higher,freetime,absences,passed
1,F,18,2,2,0,yes,no,yes,3,6,no
2,F,17,1,2,0,no,no,yes,3,4,no
3,F,15,1,2,3,yes,no,yes,3,10,yes
4,F,15,1,3,0,no,yes,yes,2,2,yes
5,F,16,1,2,0,no,no,yes,3,4,yes
6,M,16,1,2,0,no,yes,yes,4,10,yes
7,M,16,1,2,0,no,no,yes,4,0,yes
8,F,17,2,2,0,yes,no,yes,1,6,no
9,M,15,1,2,0,no,no,yes,2,0,yes
10,M,15,1,2,0,no,yes,yes,5,0,yes
11,F,15,1,2,0,no,no,yes,3,0,no
12,F,15,3,3,0,no,yes,yes,2,4,yes
13,M,15,1,1,0,no,yes,yes,3,2,yes
14,M,15,2,2,0,no,no,yes,4,2,yes
15,M,15,1,3,0,no,no,yes,5,0,yes
16,F,16,1,1,0,no,no,yes,4,4,yes
17,F,16,1,3,0,no,yes,yes,2,6,yes
18,F,16,3,2,0,yes,yes,yes,3,4,yes
19,M,17,1,1,3,no,yes,yes,5,16,no
20,M,16,1,1,0,no,yes,yes,1,4,yes
21,M,15,1,2,0,no,no,yes,4,0,yes
22,M,15,1,1,0,no,no,yes,4,0,yes
23,M,16,1,2,0,no,yes,yes,5,2,yes
24,M,16,2,2,0,no,yes,yes,4,0,yes
25,F,15,1,3,0,yes,yes,yes,3,2,no
26,F,16,1,1,2,no,no,yes,2,14,no
27,M,15,1,1,0,no,no,yes,2,2,yes
28,M,15,1,1,0,no,no,yes,2,4,yes
29,M,16,1,2,0,yes,yes,yes,3,4,yes
30,M,16,1,2,0,no,yes,yes,4,16,yes
31,M,15,1,2,0,no,no,yes,4,0,yes
32,M,15,2,2,0,no,yes,yes,3,0,yes
33,M,15,1,2,0,no,yes,yes,5,0,yes
34,M,15,1,2,0,no,yes,yes,3,0,yes
35,M,16,1,1,0,no,no,yes,4,0,yes
36,F,15,2,1,0,no,yes,yes,5,0,no
37,M,15,1,3,0,no,yes,yes,4,2,yes
38,M,16,2,3,0,no,yes,yes,4,7,yes
39,F,15,1,3,0,yes,yes,yes,3,2,yes
40,F,15,1,1,0,yes,yes,yes,3,8,yes
41,F,16,2,2,1,no,yes,yes,3,25,yes
42,M,15,1,1,0,no,no,yes,4,8,yes
43,M,15,1,2,0,no,yes,yes,3,2,yes
44,M,15,1,1,0,yes,no,yes,4,0,yes
45,F,16,2,2,1,yes,yes,yes,3,14,no
46,F,15,1,2,0,yes,yes,yes,2,8,no
47,F,16,1,2,0,no,no,yes,3,12,yes
48,M,16,1,4,0,no,yes,yes,2,4,yes
49,M,15,1,2,0,no,no,yes,3,2,yes
50,F,15,1,2,1,yes,yes,yes,4,2,no
51,F,16,3,2,0,no,no,yes,3,2,yes
52,F,15,1,2,0,no,no,yes,3,2,yes
53,M,15,2,1,1,no,no,yes,5,6,yes
54,F,15,1,1,0,yes,no,yes,3,0,yes
55,F,15,1,1,0,no,no,yes,3,6,yes
56,F,16,1,2,0,no,yes,yes,3,8,yes
57,F,15,1,2,0,no,yes,yes,3,0,yes
58,M,15,1,2,0,no,yes,yes,2,4,yes
59,M,15,1,2,0,yes,yes,yes,3,2,no
60,F,16,1,2,0,no,no,yes,2,2,yes
61,F,16,1,2,0,no,yes,yes,4,6,yes
62,F,16,4,1,0,yes,yes,yes,5,6,yes
63,F,16,1,2,0,yes,yes,yes,4,4,no
64,F,16,1,3,0,yes,yes,yes,4,2,no
65,F,15,1,2,0,yes,yes,yes,4,0,yes
66,F,16,3,2,0,no,yes,yes,4,2,yes
67,M,15,1,4,0,no,yes,yes,3,4,yes
68,F,16,1,4,0,yes,no,yes,3,4,no
69,F,15,2,2,0,yes,no,yes,1,2,no
70,F,15,2,4,0,no,no,yes,4,12,yes
71,M,16,2,4,0,no,no,yes,3,0,yes
72,M,15,1,4,0,no,no,yes,3,0,yes
73,F,15,1,2,2,yes,no,yes,3,2,no
74,M,16,1,1,0,no,yes,yes,3,2,yes
75,F,16,1,2,0,yes,yes,yes,3,54,yes
76,M,15,1,2,0,no,yes,yes,3,6,yes
77,M,15,2,4,0,no,yes,yes,4,8,yes
78,F,16,1,4,0,no,no,yes,2,0,yes
79,M,17,2,1,3,yes,yes,no,5,2,yes
80,F,16,1,2,0,no,no,yes,4,12,no
81,M,15,1,1,0,yes,yes,yes,2,2,yes
82,M,15,1,3,0,yes,no,yes,3,4,yes
83,F,15,1,2,0,no,no,yes,4,10,no
84,M,15,2,2,0,no,yes,yes,3,4,yes
85,F,15,1,2,0,no,yes,yes,3,2,yes
86,F,15,2,2,2,no,no,yes,4,6,no
87,F,16,1,2,0,no,no,yes,3,4,no
88,F,15,1,3,0,no,yes,yes,3,4,yes
89,M,16,2,2,1,no,yes,yes,4,12,yes
90,M,16,1,2,0,no,no,yes,1,18,no
91,F,16,1,3,0,no,no,yes,3,0,no
92,F,15,1,1,0,no,yes,yes,5,4,yes
93,F,16,1,2,0,yes,no,yes,3,4,no
94,F,16,2,2,0,no,yes,yes,3,0,yes
95,M,15,1,4,0,no,yes,yes,3,6,yes
96,F,15,2,4,1,yes,yes,yes,1,2,yes
97,M,16,2,1,0,yes,yes,yes,3,2,yes
98,F,16,1,2,0,no,no,yes,3,2,yes
99,F,16,1,1,0,no,yes,yes,3,6,yes
100,F,16,1,3,0,yes,no,yes,3,0,no
101,M,16,1,1,0,yes,yes,yes,5,14,no
102,M,16,1,3,0,no,yes,yes,4,0,yes
103,M,15,1,1,0,no,yes,yes,3,4,yes
104,F,15,2,2,0,yes,no,yes,3,26,no
105,M,15,1,2,0,no,yes,yes,4,0,yes
106,F,15,1,4,0,yes,no,yes,3,10,yes
107,F,15,1,4,0,yes,no,yes,1,8,no
108,M,16,1,3,0,no,yes,yes,3,2,yes
109,M,15,4,4,0,no,yes,yes,3,6,yes
110,F,16,1,3,0,no,yes,yes,4,4,yes
111,M,15,1,1,0,no,yes,yes,5,6,yes
112,F,16,1,3,1,yes,yes,yes,1,0,yes
113,F,16,1,2,1,yes,yes,yes,1,6,yes
114,M,15,1,1,0,no,no,yes,5,10,yes
115,M,15,1,2,0,no,yes,yes,4,8,no
116,M,16,1,2,0,no,yes,yes,4,2,yes
117,M,15,2,2,0,no,yes,yes,4,2,yes
118,M,16,2,1,0,no,yes,yes,4,0,yes
119,M,17,3,2,1,no,yes,yes,2,20,no
120,M,15,1,1,0,no,no,yes,4,6,yes
121,F,15,1,2,0,no,no,yes,2,2,yes
122,M,15,1,4,0,no,yes,yes,5,6,yes
123,F,16,2,2,0,no,yes,yes,2,2,yes
124,M,16,1,1,0,no,yes,yes,4,18,yes
125,F,16,1,2,0,no,no,yes,4,0,no
126,M,15,1,1,0,yes,no,yes,5,0,yes
